"id";"player1";"player2";"player1moves";"player2moves";"player1time";"player2time";"roundId";"roomId";"player1Id";"player2Id";"state";"won_amount";"player_won";"betamount"
323;"white";"black";"""H4;H5;F4;""";"""A5;A4;C5;""";"null";"null";542;"872616";"pg9";"pg8";1;"18";"pg8";10
324;"white";"black";"null";"null";"null";"null";543;"864767";"pg9";"pg8";0;"";"";10
325;"white";"black";"null";"null";"null";"null";544;"178272";"pg9";"pg8";0;"";"";10
326;"white";"black";"""H4;H5;G6;""";"""A5;G6;""";"null";"null";545;"715567";"pg8";"pg9";1;"18";"pg8";10
327;"white";"black";"null";"null";"null";"null";546;"512548";"pg9";"pg8";0;"";"";10
328;"white";"black";"""""";"""""";"null";"null";547;"455151";"pg9";"pg8";1;"18";"pg8";10
329;"white";"null";"null";"null";"null";"null";548;"160164";"pg8";"";0;"";"";10
330;"white";"black";"null";"null";"null";"null";549;"328272";"pg8";"pg9";0;"";"";10
331;"white";"black";"null";"null";"null";"null";550;"339994";"pg9";"pg8";0;"";"";10
332;"white";"black";"null";"null";"null";"null";551;"368478";"pg8";"pg9";0;"";"";10
333;"white";"null";"null";"null";"null";"null";552;"527404";"pg9";"";0;"";"";10
334;"white";"black";"null";"null";"null";"null";553;"125123";"pg9";"pg8";0;"";"";10
335;"white";"black";"null";"null";"null";"null";554;"892377";"pg9";"pg8";0;"";"";10
336;"white";"null";"null";"null";"null";"null";555;"455025";"pg9";"";0;"";"";10
337;"white";"black";"null";"null";"null";"null";556;"302133";"pg8";"pg9";0;"";"";10
338;"white";"black";"null";"null";"null";"null";557;"491007";"pg8";"pg9";0;"";"";10
339;"white";"black";"""H4;G4;F4;""";"""A5;B6;""";"null";"null";558;"401979";"pg8";"pg9";1;"18";"pg8";10
340;"white";"null";"""""";"""""";"null";"null";559;"895564";"pg8";"";1;"0";"pg8";10
341;"white";"black";"null";"null";"null";"null";560;"741289";"pg8";"pg9";0;"";"";10
342;"white";"black";"""H4;F4;G4;""";"""A6;C5;""";"null";"null";561;"141303";"pg8";"pg9";1;"18";"pg8";10
343;"white";"null";"null";"null";"null";"null";562;"762169";"pg9";"";0;"";"";10
344;"white";"null";"null";"null";"null";"null";563;"452368";"pg9";"";0;"";"";10
345;"white";"black";"null";"null";"null";"null";564;"917006";"pg9";"pg8";0;"";"";10
346;"white";"black";"null";"null";"null";"null";565;"172112";"pg9";"pg8";0;"";"";10
347;"white";"black";"null";"null";"null";"null";566;"608462";"pg9";"pg8";0;"";"";10
348;"white";"black";"null";"null";"null";"null";567;"256284";"pg9";"pg8";0;"";"";10
349;"white";"black";"null";"null";"null";"null";568;"489146";"pg9";"pg8";0;"";"";10
350;"white";"black";"null";"null";"null";"null";569;"452460";"pg9";"pg8";0;"";"";10
351;"white";"null";"null";"null";"null";"null";570;"187647";"pg8";"";0;"";"";10
352;"white";"black";"null";"null";"null";"null";571;"748615";"pg8";"pg9";0;"";"";10
353;"white";"null";"null";"null";"null";"null";572;"666400";"pg8";"";0;"";"";10
354;"white";"black";"null";"null";"null";"null";573;"264133";"pg9";"pg8";0;"";"";10
355;"white";"black";"null";"null";"null";"null";574;"977286";"pg9";"pg8";0;"";"";10
356;"white";"black";"null";"null";"null";"null";575;"746656";"pg8";"pg9";0;"";"";10
357;"white";"black";"null";"null";"null";"null";576;"836305";"pg9";"pg8";0;"";"";10
358;"white";"black";"null";"null";"null";"null";577;"566082";"pg8";"pg9";0;"";"";10
359;"white";"black";"null";"null";"null";"null";578;"590369";"pg9";"pg8";0;"";"";10
360;"white";"black";"""H4;F4;G3;F2;G4;""";"""A6;C5;A7;C4;""";"null";"null";579;"260592";"pg8";"pg9";1;"18";"pg8";10
361;"white";"black";"""H4;G3;G4;F3;G4;""";"""H5;F5;G4;G6;""";"null";"null";580;"687772";"pg8";"pg9";1;"18";"pg8";10
362;"white";"black";"null";"null";"null";"null";581;"559240";"pg9";"pg8";0;"";"";10
363;"white";"black";"null";"null";"null";"null";582;"686659";"pg9";"pg8";0;"";"";10
364;"white";"black";"null";"null";"null";"null";583;"293163";"pg9";"pg8";0;"";"";10
365;"white";"null";"null";"null";"null";"null";584;"819066";"pg9";"";0;"";"";10
366;"white";"black";"""H4;F3;G4;G5;F4;F5;""";"""A5;C6;G5;F6;G5;""";"null";"null";585;"588534";"pg8";"pg9";1;"18";"pg8";10
367;"white";"black";"null";"null";"null";"null";586;"198335";"pg9";"pg8";0;"";"";10
368;"white";"black";"null";"null";"null";"null";587;"866816";"pg9";"pg8";0;"";"";10
369;"white";"black";"null";"null";"null";"null";588;"814876";"pg9";"pg8";0;"";"";10
370;"white";"null";"null";"null";"null";"null";589;"580016";"pg9";"";0;"";"";10
371;"white";"black";"null";"null";"null";"null";590;"941397";"pg9";"pg8";0;"";"";10
372;"white";"black";"null";"null";"null";"null";591;"171191";"pg8";"pg9";0;"";"";10
373;"white";"null";"null";"null";"null";"null";592;"981731";"pg8";"";0;"";"";10
374;"white";"black";"null";"null";"null";"null";593;"870306";"pg8";"pg9";0;"";"";10
375;"white";"black";"null";"null";"null";"null";594;"370133";"pg8";"pg9";0;"";"";10
376;"white";"black";"null";"null";"null";"null";595;"641035";"pg8";"pg9";0;"";"";10
377;"white";"black";"""H4;G4;H3;F3;""";"""A5;B5;C6;""";"null";"null";596;"583557";"pg8";"pg9";1;"18";"pg8";10
378;"white";"null";"null";"null";"null";"null";597;"895668";"pg8";"";0;"";"";10
379;"white";"black";"""H4;G3;F4;H3;""";"""A5;B6;C5;""";"null";"null";598;"513583";"pg8";"pg9";1;"18";"pg8";10
380;"white";"black";"null";"null";"null";"null";599;"214667";"pg8";"pg9";0;"";"";10
381;"white";"black";"null";"null";"null";"null";600;"516817";"pg8";"pg9";0;"";"";10
382;"white";"black";"null";"null";"null";"null";601;"783986";"pg9";"pg8";0;"";"";10
383;"white";"black";"""H4;E4;E2;G4;""";"""A5;C5;A6;""";"null";"null";602;"242427";"pg9";"pg8";1;"18";"pg9";10
384;"white";"black";"""H3;F4;H2;""";"""C5;A5;""";"null";"null";603;"498034";"pg9";"pg8";1;"18";"pg9";10
385;"white";"black";"null";"null";"null";"null";604;"739982";"pg9";"pg8";0;"";"";10
386;"white";"black";"null";"null";"null";"null";605;"303455";"pg9";"pg8";0;"";"";10
387;"white";"black";"null";"null";"null";"null";606;"572908";"pg9";"pg8";0;"";"";10
388;"white";"black";"null";"null";"null";"null";607;"773769";"pg9";"pg8";0;"";"";10
389;"white";"black";"null";"null";"null";"null";608;"970026";"pg9";"pg8";0;"";"";10
390;"white";"black";"null";"null";"null";"null";609;"783479";"pg9";"pg8";0;"";"";10
391;"white";"null";"null";"null";"null";"null";610;"582849";"pg9";"";0;"";"";10
392;"white";"black";"null";"null";"null";"null";611;"106351";"pg9";"pg8";0;"";"";10
393;"white";"black";"null";"null";"null";"null";612;"136121";"pg9";"pg8";0;"";"";10
394;"white";"black";"null";"null";"null";"null";613;"594901";"pg9";"pg8";0;"";"";10
395;"white";"black";"""H4;""";"""B5;""";"null";"null";614;"706272";"pg9";"pg8";1;"18";"pg9";10
396;"white";"black";"null";"null";"null";"null";615;"140967";"pg9";"pg8";0;"";"";10
397;"white";"null";"null";"null";"null";"null";616;"385393";"pg9";"";0;"";"";10
398;"white";"black";"null";"null";"null";"null";617;"143661";"pg9";"pg8";0;"";"";10
399;"white";"black";"null";"null";"null";"null";618;"623990";"pg9";"pg8";0;"";"";10
400;"white";"null";"null";"null";"null";"null";619;"993899";"pg9";"";0;"";"";10
401;"white";"black";"null";"null";"null";"null";620;"455281";"pg9";"pg8";0;"";"";10
402;"white";"black";"null";"null";"null";"null";621;"233049";"pg9";"pg8";0;"";"";10
403;"white";"black";"null";"null";"null";"null";622;"477718";"pg9";"pg8";0;"";"";10
404;"white";"black";"null";"null";"null";"null";623;"701467";"pg9";"pg8";0;"";"";10
405;"white";"null";"null";"null";"null";"null";624;"511900";"pg9";"";0;"";"";10
406;"white";"black";"null";"null";"null";"null";625;"160331";"pg9";"pg8";0;"";"";10
407;"white";"black";"null";"null";"null";"null";626;"292416";"pg9";"pg8";0;"";"";10
408;"white";"black";"null";"null";"null";"null";627;"718905";"pg9";"pg8";0;"";"";10
409;"white";"black";"null";"null";"null";"null";628;"284652";"pg9";"pg8";0;"";"";10
410;"white";"black";"null";"null";"null";"null";629;"462110";"pg9";"pg8";0;"";"";10
411;"white";"black";"""H4;E4;C4;""";"""C5;B5;C4;""";"null";"null";630;"606496";"pg9";"pg8";1;"18";"pg8";10
412;"white";"black";"""H4;""";"""A6;""";"null";"null";631;"986602";"pg8";"pg9";1;"18";"pg9";10
413;"white";"null";"null";"null";"null";"null";632;"329371";"pg9";"";0;"";"";10
414;"white";"black";"null";"null";"null";"null";633;"513080";"pg8";"pg9";0;"";"";10
415;"white";"black";"""H4;""";"""""";"null";"null";634;"831366";"pg8";"pg9";1;"18";"pg8";10
416;"white";"null";"null";"null";"null";"null";635;"551751";"pg8";"";0;"";"";10
417;"white";"black";"""H4;E4;D4;H5;""";"""A5;C5;D4;""";"null";"null";636;"315971";"pg8";"pg9";1;"18";"pg8";10
418;"white";"black";"null";"null";"null";"null";637;"633955";"pg8";"pg9";0;"";"";10
419;"white";"null";"null";"null";"null";"null";638;"310559";"pg8";"";0;"";"";10
420;"white";"black";"null";"null";"null";"null";639;"841550";"pg8";"pg9";0;"";"";10
421;"white";"black";"null";"null";"null";"null";640;"852751";"pg8";"pg9";0;"";"";10
422;"white";"black";"null";"null";"null";"null";641;"873709";"pg8";"pg9";0;"";"";10
